country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2000,11.09332630914356,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2001,11.10522114740608,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2002,12.00773317343539,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2003,12.90992152526657,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2004,13.81868375452136,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2005,14.73385293988301,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2006,15.64842658257636,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2007,16.56252311561344,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2008,17.47601039001685,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2009,18.38888433981344,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2010,19.301139222627,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2011,20.21288423462238,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2012,21.12399634428364,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2013,22.03446971844136,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2014,22.94430071392888,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2015,23.85358954992429,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2016,24.76222017604443,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2017,25.67141723759182,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2018,26.58131453777191,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2019,27.4917341128464,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2020,28.40250514964172,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2021,29.31384300140855,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using safely managed drinking water services,2022,30.03409813105628,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2000,49.13832056342088,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2001,49.08119774674688,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2002,48.98476556804296,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2003,48.88544575442531,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2004,50.71767778760653,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2005,52.57833242450734,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2006,54.46708249740912,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2007,56.3838433244244,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2008,58.32847892437619,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2009,60.30090520090618,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2010,62.30063019021656,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2011,64.32740260756185,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2012,66.38085203476943,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2013,68.45983280736301,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2014,70.56326101882939,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2015,70.59196988600006,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2016,70.61650785501649,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2017,70.63694158989188,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2018,70.65335162337004,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2019,70.66585500540756,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2020,70.6745374149515,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using safely managed drinking water services,2021,70.70579506148182,Total,,%,,,,Total
